Company,Profile
Ubiquiti Technical Services Pvt Ltd,Senior Quality Assurance Engineer
Morgan Stanley,Strats and Quants
Morgan Stanley,Sales and Trading
Piramal,Management Trainee - Technology
Sony Group Corporation,JAF1 : XR System Engineer
Sony Group Corporation,JAF2 : Software and Hardware engineer for Robotics Platform
Sony Group Corporation,"JAF3 : Visual Recognition Computation Systems and Architecture, Research Engineer"
Sony Group Corporation,"JAF4 : Software Engineer, Parallel Programming and Machine Learning"
Sony Group Corporation,JAF5 : R&D Engineer of Privacy Computing Technology
Sony Group Corporation,"JAF6 : Deep Learning, Researcher/Research Engineer/Software Engineer"
Sony Group Corporation,"JAF7 : Software Engineer, Embedded Linux software development"
Sony Group Corporation,"JAF8 : PlayStation Network Software Systems Engineer, Production Operations Engineer"
Sony Group Corporation,JAF9 : Platform Engineer for PlayStation Network
Sony Group Corporation,JAF10 : GPU Software Engineer for Low Level Component and Tools for PlayStation
Sony Group Corporation,JAF11 : Software testing engineer
Sony Group Corporation,JAF12 : Image Sensor device/pixel Research&Development
Piramal,Management Trainee - Business Intelligence Unit
Peepul tree,Product Development
DMI Finance,AM - Analytics
Pinpoint Investment Advisory Services,India
BLEND360,Business Analyst_Masters
Premji Invest,Research Associate - Private Equity/ Private Markets Investments
